phase,dataset,n,mode,k,topk,minlen,maxlen,rep,runtime_ms,patterns,pair_attempts,compatible_pairs,pdub_prunes,dub_prunes,aligned_checks,peak_heap_mb
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,8,15.463800,50,81,238,0,216,1037500,258.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,9,14.714800,50,81,238,0,216,1037500,272.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,0,14.199000,50,81,238,95,104,934774,346.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,1,14.679100,50,81,238,95,104,934774,358.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,2,15.058000,50,81,238,95,104,934774,372.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,3,14.434100,50,81,238,95,104,934774,384.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,4,14.336600,50,81,238,95,104,934774,396.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,5,14.889900,50,81,238,95,104,934774,408.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,6,15.517200,50,81,238,95,104,934774,422.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,7,14.086100,50,81,238,95,104,934774,434.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,8,15.260600,50,81,238,95,104,934774,446.077
ablation,DB5_NYSE.txt,60000,tk-naive,1.6666666666666667e-05,50,2,12,9,14.257500,50,81,238,95,104,934774,458.077
ablation,DB5_NYSE.txt,60000,tk,1.6666666666666667e-05,50,2,12,0,15.282000,50,81,238,95,104,934774,534.077
ablation,DB5_NYSE.txt,60000,tk,1.6666666666666667e-05,50,2,12,1,15.983800,50,81,238,95,104,934774,546.077
ablation,DB5_NYSE.txt,60000,tk,1.6666666666666667e-05,50,2,12,2,15.489600,50,81,238,95,104,934774,558.077
ablation,DB5_NYSE.txt,60000,tk,1.6666666666666667e-05,50,2,12,3,15.914500,50,81,238,95,104,934774,570.077
